Isolates,Species,Host,Organs of Plant,States,Code
1,C. dianesei,A.occidentale,Leaf,Alagoas-AL,AL
2,C. dianesei,A.occidentale,Leaf,Alagoas-AL,AL
3,C. dianesei,A.occidentale,Leaf,Alagoas-AL,AL
4,C. dianesei,A.occidentale,Leaf,Alagoas-AL,AL
5,C. dianesei,A.occidentale,Stem,Alagoas-AL,AL
6,C. dianesei,A.occidentale,Leaf,Alagoas-AL,AL
9,C. dianesei,A.occidentale,Stem,Alagoas-AL,AL
8,C.endomagifereae,A.occidentale,Stem,Alagoas-AL,AL
7,Colletotrichum sp4,A.occidentale,Leaf,Alagoas-AL,AL
12,C. dianesei,A.occidentale,Leaf,Ceará-CE,CE
14,C. dianesei,A.occidentale,Leaf,Ceará-CE,CE
15,C. dianesei,A.occidentale,Stem,Ceará-CE,CE
13,C. chrisophilum,A.occidentale,Leaf,Ceará-CE,CE
16,C. chrisophilum,A.occidentale,Stem,Ceará-CE,CE
10,C. tropicale,A.occidentale,Leaf,Ceará-CE,CE
11,C. tropicale,A.occidentale,Leaf,Ceará-CE,CE
40,C.endomagifereae,A.othonianum,Leaf,Distrito Federal-DF,DF
19,Colletotrichum sp1,A.humile,Leaf,Distrito Federal-DF,DF
25,Colletotrichum sp1,A.humile,Leaf,Distrito Federal-DF,DF
26,Colletotrichum sp1,A.occidentale,Fruit,Distrito Federal-DF,DF
33,Colletotrichum sp1,A.othonianum,Leaf,Distrito Federal-DF,DF
34,Colletotrichum sp1,A.othonianum,Leaf,Distrito Federal-DF,DF
35,Colletotrichum sp1,A.othonianum,Leaf,Distrito Federal-DF,DF
37,Colletotrichum sp1,A.othonianum,Leaf,Distrito Federal-DF,DF
45,Colletotrichum sp1,A.othonianum,Leaf,Distrito Federal-DF,DF
46,Colletotrichum sp1,A.othonianum,Leaf,Distrito Federal-DF,DF
48,Colletotrichum sp1,A.othonianum,Leaf,Distrito Federal-DF,DF
49,Colletotrichum sp1,A.othonianum,Leaf,Distrito Federal-DF,DF
50,Colletotrichum sp1,A.othonianum,Leaf,Distrito Federal-DF,DF
51,Colletotrichum sp1,A.othonianum,Leaf,Distrito Federal-DF,DF
52,Colletotrichum sp1,A.othonianum,Leaf,Distrito Federal-DF,DF
53,Colletotrichum sp1,A.othonianum,Leaf,Distrito Federal-DF,DF
